followers,following,bio_length,posts,profile_picture,Private,uname_digits,uname_length,Fake
432,410,25,26,yes,private,0,10,real
310,357,23,44,yes,private,0,10,real
333,358,35,23,yes,private,0,18,real
202,201,0,21,yes,private,0,9,real
421,565,30,44,yes,private,0,6,real
449,481,34,45,yes,private,2,10,real
318,318,8,9,yes,private,0,10,real
371,370,29,10,yes,private,0,14,real
262,265,19,22,yes,private,0,11,real
588,497,0,13,yes,private,0,12,real
636,632,16,111,yes,public,0,5,real
266,257,44,105,yes,private,0,11,real
204,126,0,393,yes,public,0,14,real
514,573,19,216,yes,public,2,15,real
450,708,52,58,yes,private,0,10,real
406,478,0,76,yes,private,0,12,real
397,371,0,298,yes,private,0,6,real
1078,179,0,131,yes,public,2,15,real
523,396,30,52,yes,private,0,11,real
255,246,0,12,yes,private,0,12,real
87,95,24,11,yes,private,0,17,real
133,135,20,4,yes,private,0,10,real
197,267,13,8,yes,private,0,12,real
709,692,0,76,yes,private,0,17,real
296,291,0,26,yes,private,0,14,real
198,198,17,35,yes,public,0,12,real
619,793,98,272,yes,private,0,7,real
174,172,0,1,yes,private,0,10,real
190,184,0,2,yes,private,0,11,real
198,233,0,28,yes,private,0,15,real
324,323,0,114,yes,private,0,10,real
251,257,0,24,yes,private,0,15,real
218,255,0,2,yes,private,0,9,real
224,287,0,51,yes,private,0,13,real
293,259,0,36,yes,private,0,13,real
155,359,73,71,yes,private,0,8,real
204,263,49,24,yes,public,0,9,real
512,365,67,12,yes,private,2,12,real
257,291,139,19,yes,private,2,10,real
213,245,0,31,yes,private,0,12,real
369,396,0,5,yes,private,0,12,real
309,323,0,96,yes,private,0,11,real
472,534,0,27,yes,private,0,7,real
202,340,0,28,yes,private,0,11,real
272,240,0,147,yes,public,0,13,real
303,341,20,12,yes,private,0,13,real
189,190,0,9,yes,private,0,6,real
455,449,18,32,yes,private,0,12,real
634,618,17,25,yes,private,0,7,real
541,516,134,84,yes,public,0,8,real
450,473,64,152,yes,private,0,15,real
143,237,0,3,yes,public,0,12,real
467,681,1,149,yes,private,0,10,real
1050,820,43,332,yes,public,0,10,real
194,278,0,3,yes,private,1,11,real
55,31,0,1,yes,public,0,8,real
462,682,0,94,yes,private,0,10,real
455,603,0,79,yes,private,0,11,real
246,267,0,55,yes,private,0,15,real
116,214,0,5,yes,private,0,11,real
97,156,0,24,yes,private,0,9,real
1507,1198,35,175,yes,private,0,13,real
196,270,0,199,yes,public,0,15,real
304,450,0,271,yes,private,0,8,real
488,546,14,25,yes,private,0,9,real
464,684,39,102,yes,private,0,10,real
894,874,1,414,yes,private,2,11,real
871,841,78,161,yes,public,0,12,real
281,560,32,396,yes,private,0,10,real
1170,1355,0,491,yes,private,0,14,real
474,935,72,273,yes,private,0,8,real
489,570,40,367,yes,private,0,11,real
604,674,0,65,yes,private,0,11,real
964,861,29,9,yes,private,0,8,real
359,386,0,397,yes,private,0,15,real
523,782,9,471,yes,private,0,5,real
615,1187,1,984,yes,private,0,13,real
894,720,41,80,yes,public,0,11,real
420,457,21,127,yes,public,0,10,real
495,491,40,12,yes,private,2,11,real
557,703,0,60,yes,public,0,11,real
403,449,8,204,yes,private,0,12,real
450,579,103,67,yes,private,0,9,real
242,273,0,206,yes,private,0,13,real
381,1319,144,102,yes,private,0,11,real
736,662,0,312,yes,public,0,7,real
625,977,13,7,yes,private,0,11,real
372,362,36,13,yes,private,0,7,real
550,555,133,234,yes,private,0,16,real
150,184,0,79,yes,public,0,6,real
407,464,70,579,yes,private,0,7,real
1017,1201,0,263,yes,public,0,14,real
148,426,0,22,yes,private,0,8,real
1209,1093,38,289,yes,public,0,8,real
382,691,0,300,yes,private,0,6,real
520,604,15,732,yes,public,0,9,real
1002,1089,0,582,yes,private,0,10,real
305,386,24,166,yes,private,0,9,real
619,937,0,16,yes,private,0,10,real
619,750,24,38,yes,private,0,9,real
719,607,45,69,yes,private,0,11,real
108,125,1,16,yes,private,0,13,real
343,388,0,67,yes,private,0,5,real
323,405,0,69,yes,private,0,10,real
1020,1048,101,126,yes,public,0,8,real
982,979,0,266,yes,public,0,13,real
416,460,0,104,yes,private,0,10,real
511,916,0,134,yes,private,0,12,real
511,563,32,16,yes,public,0,15,real
403,490,0,38,yes,private,0,12,real
319,429,0,68,yes,private,0,7,real
213,406,0,169,yes,private,0,6,real
199,228,0,12,yes,private,0,8,real
211,255,23,27,yes,private,4,10,real
214,208,0,9,yes,private,0,12,real
875,878,4,15,yes,private,0,13,real
907,927,64,36,yes,private,0,14,real
299,540,0,112,yes,private,0,12,real
625,921,0,91,yes,private,0,7,real
238,410,11,44,yes,private,0,10,real
167,294,0,37,yes,private,0,14,real
509,690,0,15,yes,private,0,10,real
210,238,0,1,yes,public,0,10,real
366,377,8,373,yes,private,0,9,real
475,551,0,93,yes,private,0,11,real
330,272,14,103,yes,private,0,10,real
362,373,0,19,yes,public,0,10,real
248,289,22,21,yes,private,0,10,real
379,531,27,52,yes,private,0,11,real
431,688,0,15,yes,private,0,9,real
609,719,89,37,yes,public,0,11,real
548,480,0,98,yes,private,0,7,real
428,413,16,314,yes,private,0,12,real
361,1066,0,308,yes,private,0,12,real
775,691,25,26,yes,private,0,6,real
543,1020,41,179,yes,private,0,14,real
383,419,4,5,yes,private,0,11,real
103,143,0,20,yes,private,1,11,real
367,361,0,98,yes,private,0,9,real
321,295,18,99,yes,private,0,11,real
146,134,31,36,yes,private,0,10,real
219,337,0,0,yes,private,1,7,real
302,362,1,54,yes,private,0,13,real
379,484,0,130,yes,private,0,10,real
468,504,0,26,yes,private,0,9,real
645,694,0,69,yes,private,0,12,real
251,321,48,42,yes,private,0,12,real
276,352,0,69,yes,private,0,8,real
302,307,7,80,yes,private,0,15,real
357,593,0,20,yes,private,0,9,real
251,292,0,3,yes,private,0,9,real
824,962,23,5,yes,public,0,14,real
549,545,0,100,yes,private,0,11,real
552,639,1,184,yes,private,0,10,real
409,407,25,164,yes,private,0,12,real
362,332,0,38,yes,public,0,14,real
374,449,0,26,yes,private,0,12,real
601,509,33,223,yes,private,0,10,real
723,649,18,62,yes,public,0,8,real
473,531,24,19,yes,private,0,10,real
536,669,21,30,yes,private,2,8,real
404,458,0,240,yes,private,0,10,real
516,764,0,217,yes,private,0,10,real
406,392,0,142,yes,public,0,6,real
400,835,0,44,yes,private,0,9,real
1933,995,0,107,yes,private,0,11,real
500,667,0,150,yes,private,0,11,real
447,749,0,185,yes,private,0,14,real
439,910,1,517,yes,private,0,10,real
1054,1538,25,445,yes,public,0,6,real
208,571,0,11,yes,public,0,8,real
349,806,125,66,yes,private,0,10,real
427,594,7,37,yes,private,0,9,real
323,505,0,0,yes,private,1,13,real
341,440,51,9,yes,private,0,14,real
104,120,0,12,yes,private,0,9,real
272,302,31,1,yes,private,0,7,real
170,181,18,15,yes,private,0,14,real
381,515,43,67,yes,private,0,12,real
196,224,0,0,yes,public,0,10,real
141,96,91,9,yes,public,0,9,real
273,392,0,5,yes,private,0,11,real
1221,999,0,30,yes,private,0,13,real
402,478,56,22,yes,private,0,14,real
260,390,0,37,yes,private,0,11,real
180,224,0,3,yes,private,2,8,real
137,1096,0,5,yes,public,0,12,real
43,48,0,13,yes,private,4,10,real
404,408,27,102,yes,private,0,7,real
719,1107,0,227,yes,private,0,13,real
771,1743,96,118,yes,private,0,15,real
271,771,30,81,yes,private,0,9,real
124,115,0,143,yes,public,0,6,real
102,264,0,11,yes,private,0,12,real
109,154,0,0,yes,private,0,14,real
422,466,25,27,yes,private,0,12,real
544,371,24,5,yes,private,2,9,real
284,315,0,23,yes,private,0,7,real
1083,1066,46,469,yes,public,0,9,real
647,454,0,6,yes,private,0,6,real
172,141,0,62,yes,public,0,9,real
255,308,0,80,yes,private,0,11,real
718,917,84,86,yes,private,2,12,real
120,135,14,46,yes,public,0,13,real
531,480,0,13,yes,public,0,12,real
136,162,103,2,yes,private,2,8,real
661,628,63,29,yes,private,0,8,real
70,90,0,0,yes,private,4,9,real
1562,1213,0,98,yes,private,0,14,real
1483,1498,28,770,yes,private,0,11,real
1087,922,133,284,yes,public,0,10,real
911,561,29,211,yes,public,0,13,real
1257,857,14,228,yes,public,0,11,real
433,490,0,12,yes,private,0,11,real
267,319,19,15,yes,private,0,16,real
163,109,0,36,yes,private,2,12,real
196,207,0,27,yes,private,0,7,real
260,296,10,2,yes,public,0,7,real
192,145,0,37,yes,private,0,10,real
187,191,24,45,yes,public,0,15,real
579,504,27,35,yes,private,0,11,real
442,719,0,96,yes,public,2,7,real
5,4,0,0,yes,public,2,13,real
309,827,0,203,yes,private,0,9,real
189,332,0,5,yes,private,0,16,real
522,493,0,43,yes,private,0,11,real
43,30,0,15,yes,private,2,6,real
59,89,0,0,yes,public,2,12,real
168,10,0,0,yes,public,0,5,real
213,274,0,1,yes,private,0,13,real
56,153,28,36,yes,private,3,13,real
294,307,0,22,yes,private,2,11,real
290,656,0,50,yes,private,0,11,real
488,1071,0,53,yes,private,0,7,real
384,455,0,31,yes,public,2,6,real
390,520,38,78,yes,private,0,10,real
1342,712,24,112,yes,public,0,12,real
486,651,18,227,yes,private,0,7,real
94,123,0,0,no,private,0,12,real
603,496,57,100,yes,private,0,13,real
445,449,0,60,yes,public,0,16,real
260,161,0,2,yes,private,0,10,real
484,412,13,59,yes,private,0,8,real
461,700,0,475,yes,private,0,7,real
248,197,71,27,yes,private,0,11,real
296,495,0,49,yes,private,0,12,real
200,304,0,82,yes,private,0,8,real
511,873,1,502,yes,private,0,11,real
728,307,0,50,yes,public,0,5,real
969,944,124,118,yes,public,0,12,real
225,307,0,74,yes,private,0,8,real
237,492,0,21,yes,private,4,10,real
115,160,54,61,yes,private,0,9,real
5,13,0,1,yes,private,4,16,real
284,289,8,31,yes,private,0,10,real
207,225,24,6,yes,private,0,10,real
106,147,0,1,yes,private,0,11,real
220,367,0,10,yes,private,0,12,real
39,43,11,0,yes,private,4,10,real
311,412,0,3,no,private,0,13,real
372,374,0,46,yes,private,0,14,real
42,8,0,1,yes,public,0,15,real
368,459,30,65,yes,private,0,7,real
566,585,0,13,yes,private,0,7,real
615,830,42,108,yes,private,0,15,real
174,26,52,12,yes,private,0,11,real
847,958,0,209,yes,private,0,14,real
1121,1118,150,615,yes,private,0,10,real
245,208,4,2,yes,private,2,12,real
374,445,0,104,yes,private,0,7,real
505,498,0,64,yes,public,0,9,real
341,1049,33,176,yes,private,0,8,real
433,543,1,288,yes,private,0,12,real
499,758,0,23,yes,private,2,13,real
310,349,0,25,yes,private,0,14,real
330,422,40,799,yes,private,0,11,real
527,659,24,109,yes,public,0,10,real
79,90,0,0,yes,private,0,7,real
456,653,1,170,yes,private,0,9,real
319,378,48,41,yes,private,0,13,real
169,39,0,4,yes,public,0,11,real
403,470,23,47,yes,private,0,10,real
550,485,31,84,yes,private,0,11,real
972,732,5,113,yes,private,0,13,real
161,168,0,59,yes,private,0,8,real
584,669,42,31,yes,public,0,10,real
433,453,0,52,yes,private,0,10,real
512,522,56,88,yes,private,0,10,real
547,790,0,17,yes,public,0,8,real
402,343,98,1058,yes,private,0,10,real
1801,1029,0,123,yes,public,0,8,real
322,365,50,122,yes,private,0,6,real
1031,719,12,99,yes,public,0,13,real
846,743,22,38,yes,public,0,12,real
460,380,5,67,yes,private,0,12,real
412,414,12,15,yes,private,1,12,real
354,455,0,19,yes,private,0,12,real
508,504,9,74,yes,private,0,5,real
409,927,6,32,yes,private,0,7,real
228,806,13,0,yes,private,0,13,real
174,172,0,1,yes,private,0,10,real
769,1115,25,92,yes,public,0,10,real
559,674,0,13,yes,private,0,14,real
382,346,23,38,yes,private,0,7,real
338,334,19,30,yes,private,0,13,real
345,362,0,56,yes,private,0,11,real
419,411,33,38,yes,private,0,13,real
476,462,9,75,yes,private,0,13,real
348,338,15,15,yes,private,0,6,real
582,623,0,36,yes,private,0,14,real
479,547,59,80,yes,private,0,10,real
352,333,14,38,yes,private,0,11,real
581,544,6,58,yes,private,0,11,real
560,500,39,49,yes,private,0,9,real
525,1017,10,41,yes,private,0,13,real
452,481,0,82,yes,private,0,6,real
713,636,3,118,yes,private,0,13,real
270,280,34,52,yes,private,0,11,real
423,424,40,169,yes,private,0,12,real
630,641,1,93,yes,private,0,17,real
893,902,30,87,yes,private,0,14,real
499,617,14,56,yes,private,0,12,real
440,540,16,48,yes,private,0,6,real
300,442,0,36,yes,private,0,12,real
294,386,8,15,yes,private,2,14,real
428,385,50,18,yes,private,0,14,real
480,481,0,72,yes,private,0,11,real
726,582,0,17,yes,public,0,16,real
924,832,26,596,yes,private,0,9,real
631,645,22,56,yes,private,0,8,real
254,352,22,94,yes,private,0,15,real
406,478,0,76,yes,private,0,12,real
842,797,0,99,yes,private,0,13,real
647,542,21,36,yes,private,0,14,real
513,442,0,50,yes,private,0,14,real
338,367,2,37,yes,private,0,13,real
619,793,98,272,yes,private,0,7,real
938,1194,66,27,yes,private,0,14,real
293,235,0,103,yes,private,0,12,real
564,538,0,71,yes,private,0,13,real
727,729,0,31,yes,private,0,11,real
314,187,102,200,yes,public,0,11,real
651,643,39,171,yes,private,0,15,real
507,582,34,99,yes,private,0,11,real
632,664,14,31,yes,private,0,10,real
521,491,10,69,yes,private,0,14,real
468,456,41,12,yes,private,0,6,real
530,597,53,71,yes,private,0,8,real
339,331,48,4,yes,private,0,12,real
377,387,0,33,yes,private,0,13,real
414,496,0,60,yes,private,0,10,real
427,548,72,54,yes,private,0,11,real
536,447,33,79,yes,private,0,9,real
481,555,8,29,yes,private,0,11,real
492,724,0,71,yes,private,0,14,real
257,291,139,19,yes,private,2,10,real
582,658,0,80,yes,private,0,11,real
347,381,6,66,yes,private,0,9,real
298,298,22,25,yes,private,0,12,real
322,411,23,12,yes,private,0,11,real
183,189,6,11,yes,private,0,5,real
324,323,0,114,yes,private,0,10,real
176,256,0,1,yes,private,0,12,real
2572,693,3,8,yes,public,0,11,real
3087,526,132,32,yes,public,0,22,real
4492,2210,130,184,yes,public,0,15,real
2082,2197,94,875,yes,public,0,7,real
1011,262,100,132,yes,public,0,17,real
37,413,49,5,yes,public,0,9,real
521,2397,118,9,yes,public,2,17,real
16,57,26,4,yes,private,2,14,real
222,440,105,5,yes,public,3,14,real
44,3787,0,1,no,public,0,13,real
2253,5022,0,172,yes,public,7,15,real
444,604,111,3,yes,public,4,16,real
360,2288,0,228,yes,public,0,12,real
142,289,0,7,yes,public,0,12,real
114,248,0,49,yes,public,0,14,real
340,536,0,4,yes,public,4,15,real
280,691,7,8,yes,public,0,16,real
93,139,0,3,yes,public,0,12,real
58,170,12,20,yes,public,0,9,real
247,963,78,30,yes,public,0,10,real
281,1342,60,327,yes,public,5,9,real
1173,1431,15,3,yes,public,0,10,real
158,303,51,2,yes,public,2,11,real
70,808,0,6,yes,public,1,9,real
1266,678,50,1,yes,public,0,13,real
197,131,3,1,no,public,0,12,real
498,148,12,2,yes,public,4,12,real
1705,578,25,6,yes,public,2,14,real
449,1151,0,84,no,private,0,9,real
1022,5252,140,2,yes,public,3,10,real
1,15,0,0,yes,private,0,10,real
611,514,94,36,yes,public,0,12,real
23,140,57,0,yes,public,0,10,real
804,2553,0,25,yes,public,5,18,real
291,84,68,5,yes,public,1,11,real
77,42,16,5,yes,public,0,16,real
433,409,31,3,yes,public,0,12,real
199,61,73,1,yes,public,0,12,real
322,257,0,3,yes,public,0,12,real
183,155,0,1,yes,public,0,10,real
152,966,0,6,yes,public,0,9,real
149,822,83,6,yes,public,0,13,real
247,316,108,3,yes,public,0,9,real
694,3255,84,8,yes,public,2,15,real
287,1459,10,8,yes,public,4,13,real
801,4536,82,9,yes,public,3,15,real
21,586,54,3,yes,public,0,12,real
12,202,135,2,yes,public,0,12,real
125,691,15,3,yes,public,3,14,real
25,765,70,2,yes,public,0,16,real
116,1265,75,3,yes,public,0,18,real
140,288,0,5,yes,public,0,13,real
47,61,57,7,yes,public,0,15,real
89,112,0,3,yes,private,2,12,real
12,28,0,1,yes,private,4,14,real
338,435,0,7,yes,private,0,10,real
875,1027,24,2,yes,public,0,17,real
359,586,48,8,yes,private,0,12,real
353,733,32,5,yes,private,0,7,real
49,326,0,7,yes,public,0,14,real
47,124,0,3,yes,private,0,13,real
40,118,3,4,no,public,0,13,real
282,377,37,9,yes,private,0,12,real
160,304,0,5,yes,private,0,10,real
605,525,54,6,yes,public,0,9,real
816,646,130,9,yes,public,1,15,real
288,365,8,4,yes,private,0,14,real
239,416,27,8,yes,private,0,14,real
153,253,0,8,yes,private,0,12,real
21,63,0,1,yes,public,4,14,real
41,93,0,1,yes,private,0,9,real
32,48,0,4,yes,public,0,17,real
13,73,56,8,yes,private,0,12,real
30,347,149,1,yes,public,2,9,real
443,1821,0,8,yes,public,0,14,real
517,1693,67,6,yes,public,4,12,real
144,651,0,8,yes,private,0,11,real
98,937,0,8,yes,public,0,15,real
177,237,0,9,yes,private,2,12,real
295,378,27,1,yes,private,1,13,real
156,165,0,8,yes,public,0,16,real
5,46,105,7,yes,public,0,15,real
207,258,0,4,yes,public,2,12,real
316,496,105,5,yes,public,0,16,real
22,46,0,1,yes,private,0,13,real
70,160,0,4,yes,private,0,5,real
146,203,7,4,yes,private,0,6,real
261,488,0,3,yes,private,0,11,real
342,465,6,3,yes,private,0,7,real
183,401,0,9,yes,private,0,20,real
250,796,97,9,yes,public,0,20,real
96,134,3,9,yes,private,0,20,real
145,327,139,6,yes,public,0,14,real
146,166,0,4,yes,private,4,10,real
44,361,0,2,no,public,0,15,real
792,3126,113,6,yes,public,0,20,real
312,2275,110,5,yes,public,0,12,real
283,477,0,5,yes,private,2,8,real
1002,4209,0,9,yes,public,2,16,real
234,658,93,2,yes,public,0,14,real
160,177,0,2,yes,public,0,12,real
207,553,0,9,yes,public,2,11,real
46,22,21,4,yes,public,0,18,real
154,147,22,5,yes,public,0,14,real
60,58,47,6,yes,public,0,13,real
149,123,0,1,yes,public,0,15,real
188,504,0,3,yes,private,0,9,real
401,2117,0,3,yes,public,1,10,real
239,1134,145,9,yes,public,0,19,real
91,149,0,7,yes,public,0,18,real
78,783,28,1,yes,public,0,11,real
135,517,44,4,yes,public,4,11,real
203,823,71,4,yes,public,0,12,real
